word,count
entrega,1412
ainda,1401
entregue,1329
prazo,916
compra,910
pedido,794
loja,775
dia,767
est,582
apenas,540
lannister,540
quero,519
nem,517
produtos,515
sem,513
site,513
dois,501
contato,467
dias,438
qualidade,436
aguardando,424
pra,421
tive,394
momento,377
nota,365
